DeclaredCounty/Area,State,DistinctDisasterNumbers,Latitude (generated),Longitude (generated)
Rains,Texas,3,32.8458,-95.8013
Presidio,Texas,6,29.9461,-104.2391
Potter,Texas,7,35.3994,-101.8943
Polk,Texas,4,30.8186,-94.897
Pecos,Texas,5,30.7143,-102.6595
Parmer,Texas,3,34.5279,-102.7843
Parker,Texas,5,32.7816,-97.8046
Panola,Texas,6,32.1837,-94.3114
Palo Pinto,Texas,11,32.7706,-98.3186
Orange,Texas,4,30.1075,-93.8955
Oldham,Texas,4,35.4003,-102.6039
Ochiltree,Texas,4,36.2819,-100.8158
Nueces,Texas,2,27.7778,-97.6629
Nolan,Texas,7,32.3092,-100.4063
Newton,Texas,7,30.7161,-93.745
Navarro,Texas,4,32.0628,-96.4755
Nacogdoches,Texas,5,31.5347,-94.5952
Motley,Texas,5,34.0728,-100.7798
Morris,Texas,4,33.1234,-94.7341
Moore,Texas,4,35.8374,-101.8929
Montgomery,Texas,8,30.3293,-95.5146
Montague,Texas,6,33.7131,-97.732
Mitchell,Texas,5,32.2991,-100.9214
Mills,Texas,4,31.4778,-98.6518
Milam,Texas,4,30.7849,-96.9758
Midland,Texas,9,31.8364,-102.0316
Menard,Texas,5,30.9164,-99.8004
Medina,Texas,3,29.4024,-99.1087
McMullen,Texas,2,28.3555,-98.5677
McLennan,Texas,4,31.5514,-97.2004
McCulloch,Texas,5,31.217,-99.3467
Maverick,Texas,2,28.6426,-100.2812
Matagorda,Texas,3,28.8246,-95.9122
Mason,Texas,4,30.7183,-99.2239
Martin,Texas,5,32.299,-101.9515
Marion,Texas,6,32.7826,-94.3622
Madison,Texas,3,30.9585,-95.9474
Lynn,Texas,4,33.179,-101.8167
Lubbock,Texas,3,33.6145,-101.8206
Loving,Texas,3,31.826,-103.5679
Llano,Texas,3,30.704,-98.6891
Live Oak,Texas,4,28.4249,-98.1422
Lipscomb,Texas,3,36.3128,-100.2732
Limestone,Texas,4,31.5165,-96.5516
Liberty,Texas,5,30.1848,-94.8629
Leon,Texas,5,31.3146,-95.9962
Lee,Texas,5,30.2949,-96.8887
Lavaca,Texas,2,29.3566,-96.8972
Lampasas,Texas,6,31.2393,-98.2864
Lamb,Texas,4,34.0888,-102.3518
Lamar,Texas,4,33.6614,-95.5832
La Salle,Texas,4,28.301,-99.0981
Knox,Texas,5,33.6159,-99.7337
Kleberg,Texas,2,27.4227,-97.9022
Kinney,Texas,3,29.3544,-100.4105
King,Texas,7,33.6116,-100.2558
Kimble,Texas,6,30.4915,-99.7102
Kerr,Texas,4,30.0494,-99.3054
Kent,Texas,5,33.1797,-100.7781
Kenedy,Texas,2,26.9412,-97.7741
Kendall,Texas,5,29.93,-98.6715
Kaufman,Texas,3,32.5982,-96.2991
Karnes,Texas,2,28.9476,-97.9006
Jones,Texas,4,32.7392,-99.8789
Johnson,Texas,5,32.3415,-97.3509
Jim Wells,Texas,2,27.659,-98.0873
